xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.12,0.62,0.14,0.62,0.15,0.62,0.03,0.62,0.14,0.62,0.25,0.62,0.78,0.72,0.79,0.72,0.79,0.72,0
0.77,0.73,0.79,0.73,0.81,0.73,0.75,0.72,0.79,0.72,0.82,0.72,0.13,0.61,0.14,0.61,0.14,0.61,0
0.67,0.92,0.67,0.92,0.67,0.92,0.66,0.87,0.67,0.87,0.68,0.87,0.57,0.87,0.58,0.87,0.58,0.87,0
0.58,0.91,0.58,0.91,0.58,0.91,0.54,0.87,0.58,0.87,0.61,0.87,0.66,0.87,0.67,0.87,0.67,0.87,0
0.58,0.91,0.58,0.91,0.58,0.91,0.54,0.87,0.58,0.87,0.61,0.87,0.68,0.87,0.69,0.87,0.69,0.87,0
0.58,0.91,0.58,0.91,0.58,0.91,0.54,0.87,0.58,0.87,0.61,0.87,0.62,0.87,0.62,0.87,0.63,0.87,0
0.62,0.92,0.62,0.92,0.62,0.92,0.61,0.87,0.62,0.87,0.63,0.87,0.57,0.87,0.58,0.87,0.58,0.87,0
0.70,0.92,0.70,0.92,0.70,0.92,0.69,0.87,0.70,0.87,0.71,0.87,0.74,0.87,0.75,0.87,0.75,0.87,0
0.73,0.93,0.74,0.93,0.74,0.93,0.73,0.87,0.73,0.87,0.74,0.87,0.70,0.87,0.70,0.87,0.71,0.87,0
0.73,0.93,0.74,0.93,0.74,0.93,0.73,0.87,0.73,0.87,0.74,0.87,0.53,0.87,0.54,0.87,0.54,0.87,0
0.54,0.93,0.54,0.93,0.54,0.93,0.53,0.87,0.54,0.87,0.54,0.87,0.71,0.87,0.72,0.87,0.72,0.87,0
0.72,0.92,0.72,0.92,0.72,0.92,0.71,0.87,0.72,0.87,0.73,0.87,0.64,0.87,0.64,0.87,0.65,0.87,0
